value,probability,count
2,6e-05,3
3,8e-05,4
4,0.0003,15
5,0.0002,10
6,0.00058,29
7,0.00088,44
8,0.00082,41
9,0.0012,60
10,0.00112,56
11,0.00172,86
12,0.002,100
13,0.00282,141
14,0.00282,141
15,0.00314,157
16,0.0031,155
17,0.00334,167
18,0.00458,229
19,0.00508,254
20,0.00512,256
21,0.00654,327
22,0.00622,311
23,0.00676,338
24,0.00758,379
25,0.00872,436
26,0.0086,430
27,0.00896,448
28,0.01044,522
29,0.0106,530
30,0.01116,558
31,0.01206,603
32,0.01256,628
33,0.01366,683
34,0.01394,697
35,0.01466,733
36,0.01524,762
37,0.0165,825
38,0.01738,869
39,0.01868,934
40,0.01822,911
41,0.01854,927
42,0.02078,1039
43,0.021,1050
44,0.0211,1055
45,0.02218,1109
46,0.02366,1183
47,0.02296,1148
48,0.02526,1263
49,0.02458,1229
50,0.02638,1319
51,0.02662,1331
52,0.02486,1243
53,0.02484,1242
54,0.02456,1228
55,0.0226,1130
56,0.0215,1075
57,0.0216,1080
58,0.02098,1049
59,0.02104,1052
60,0.01838,919
61,0.01808,904
62,0.01726,863
63,0.0167,835
64,0.01568,784
65,0.01512,756
66,0.01404,702
67,0.01412,706
68,0.013,650
69,0.01288,644
70,0.01182,591
71,0.01126,563
72,0.01002,501
73,0.00936,468
74,0.0089,445
75,0.00914,457
76,0.00828,414
77,0.00778,389
78,0.00684,342
79,0.00584,292
80,0.0056,280
81,0.00508,254
82,0.00442,221
83,0.00458,229
84,0.0035,175
85,0.00382,191
86,0.00292,146
87,0.00244,122
88,0.0023,115
89,0.00188,94
90,0.00168,84
91,0.0015,75
92,0.00096,48
93,0.0007,35
94,0.00054,27
95,0.00056,28
96,0.00032,16
97,0.0001,5
98,8e-05,4
99,2e-05,1
100,0,0
