value,probability,count
1,0.00958,479
2,0.0104,520
3,0.01002,501
4,0.01032,516
5,0.01006,503
6,0.01032,516
7,0.00984,492
8,0.0105,525
9,0.00988,494
10,0.00998,499
11,0.00994,497
12,0.00976,488
13,0.00984,492
14,0.00952,476
15,0.01028,514
16,0.00988,494
17,0.01046,523
18,0.01048,524
19,0.01082,541
20,0.01004,502
21,0.0105,525
22,0.00952,476
23,0.00996,498
24,0.01046,523
25,0.01008,504
26,0.0099,495
27,0.01086,543
28,0.0103,515
29,0.01008,504
30,0.00988,494
31,0.00944,472
32,0.00968,484
33,0.00988,494
34,0.00978,489
35,0.01042,521
36,0.00952,476
37,0.00988,494
38,0.00898,449
39,0.00964,482
40,0.00964,482
41,0.00992,496
42,0.00962,481
43,0.01082,541
44,0.01006,503
45,0.0091,455
46,0.0107,535
47,0.01006,503
48,0.01004,502
49,0.01018,509
50,0.01078,539
51,0.01022,511
52,0.01056,528
53,0.00962,481
54,0.00984,492
55,0.0096,480
56,0.00964,482
57,0.01006,503
58,0.01006,503
59,0.01042,521
60,0.01002,501
61,0.0101,505
62,0.01056,528
63,0.00986,493
64,0.0101,505
65,0.0091,455
66,0.00958,479
67,0.00982,491
68,0.0097,485
69,0.00942,471
70,0.00974,487
71,0.00972,486
72,0.00996,498
73,0.00924,462
74,0.01028,514
75,0.01018,509
76,0.0108,540
77,0.00982,491
78,0.01008,504
79,0.00964,482
80,0.01006,503
81,0.01046,523
82,0.01,500
83,0.0106,530
84,0.00982,491
85,0.01008,504
86,0.01016,508
87,0.00982,491
88,0.01032,516
89,0.00976,488
90,0.00992,496
91,0.00992,496
92,0.0101,505
93,0.00952,476
94,0.01038,519
95,0.00922,461
96,0.00968,484
97,0.00992,496
98,0.01014,507
99,0.01014,507
100,0.01064,532
