value,probability,count
1,0.02076,1038
2,0.01978,989
3,0.02034,1017
4,0.0196,980
5,0.01864,932
6,0.01876,938
7,0.01858,929
8,0.01892,946
9,0.01806,903
10,0.0181,905
11,0.01744,872
12,0.01752,876
13,0.01792,896
14,0.0185,925
15,0.01788,894
16,0.01714,857
17,0.01654,827
18,0.0173,865
19,0.01664,832
20,0.01646,823
21,0.0151,755
22,0.016,800
23,0.01504,752
24,0.01554,777
25,0.01476,738
26,0.01522,761
27,0.01438,719
28,0.01462,731
29,0.01412,706
30,0.01398,699
31,0.0138,690
32,0.01244,622
33,0.01316,658
34,0.01336,668
35,0.01276,638
36,0.01202,601
37,0.01254,627
38,0.01228,614
39,0.01212,606
40,0.01172,586
41,0.01258,629
42,0.01254,627
43,0.01056,528
44,0.0111,555
45,0.01054,527
46,0.0104,520
47,0.01054,527
48,0.01,500
49,0.01014,507
50,0.01088,544
51,0.01092,546
52,0.00992,496
53,0.0099,495
54,0.00944,472
55,0.00968,484
56,0.00904,452
57,0.00834,417
58,0.00796,398
59,0.0079,395
60,0.00814,407
61,0.00694,347
62,0.0081,405
63,0.00746,373
64,0.00728,364
65,0.00682,341
66,0.00674,337
67,0.00686,343
68,0.00662,331
69,0.00634,317
70,0.00624,312
71,0.00554,277
72,0.006,300
73,0.00596,298
74,0.00514,257
75,0.0048,240
76,0.0051,255
77,0.00432,216
78,0.00448,224
79,0.00404,202
80,0.00418,209
81,0.00398,199
82,0.00366,183
83,0.00338,169
84,0.00364,182
85,0.00322,161
86,0.00298,149
87,0.00306,153
88,0.00238,119
89,0.00234,117
90,0.0023,115
91,0.00172,86
92,0.00166,83
93,0.00146,73
94,0.00128,64
95,0.00096,48
96,0.00082,41
97,0.00096,48
98,0.00068,34
99,0.00016,8
100,4e-05,2
