n, time_one, time_two, time_three
100, 0, 0, 0
125, 0, 0, 0
156, 0, 0, 0
195, 0, 0, 0
243, 0, 0, 0
303, 0, 0, 0
378, 0, 0, 0
472, 0, 0, 0
590, 0, 0, 0
737, 0, 0, 0
921, 0, 0, 0
1151, 0, 0, 0
1438, 0, 0, 0
1797, 0, 0, 0
2246, 0, 0, 0
2807, 0, 0, 0
3508, 0, 0, 0
4385, 0, 0, 1
5481, 0, 0, 1
6851, 1, 0, 2
8563, 1, 0, 2
10703, 2, 0, 2
13378, 2, 0, 3
16722, 3, 0, 4
20902, 4, 1, 5
26127, 6, 1, 6
32658, 7, 1, 10
40822, 10, 2, 10
51027, 13, 2, 15
63783, 18, 4, 17
79728, 21, 4, 23
99660, 27, 6, 27
124575, 40, 7, 38
155718, 48, 8, 41
194647, 58, 10, 46
243308, 83, 14, 68
304135, 126, 18, 78
380168, 143, 25, 155
475210, 199, 33, 143
594012, 226, 38, 175
742515, 292, 49, 200
928143, 376, 62, 289
