value,probability,count
1,8e-05,4
2,0.0003,15
3,0.00058,29
4,0.0008,40
5,0.00092,46
6,0.00134,67
7,0.00116,58
8,0.00168,84
9,0.00198,99
10,0.00184,92
11,0.00194,97
12,0.00212,106
13,0.00262,131
14,0.0026,130
15,0.0034,170
16,0.00342,171
17,0.00338,169
18,0.00384,192
19,0.00388,194
20,0.00414,207
21,0.00386,193
22,0.00404,202
23,0.00474,237
24,0.0048,240
25,0.00486,243
26,0.00522,261
27,0.006,300
28,0.0053,265
29,0.00552,276
30,0.00596,298
31,0.00594,297
32,0.00622,311
33,0.00648,324
34,0.00616,308
35,0.00704,352
36,0.00712,356
37,0.00726,363
38,0.00764,382
39,0.00752,376
40,0.0079,395
41,0.0083,415
42,0.00834,417
43,0.00864,432
44,0.00864,432
45,0.00954,477
46,0.00898,449
47,0.00942,471
48,0.00948,474
49,0.0093,465
50,0.00954,477
51,0.01046,523
52,0.01058,529
53,0.0101,505
54,0.01116,558
55,0.01108,554
56,0.0111,555
57,0.01144,572
58,0.01168,584
59,0.01204,602
60,0.01198,599
61,0.01286,643
62,0.01214,607
63,0.01212,606
64,0.01284,642
65,0.01236,618
66,0.01352,676
67,0.01304,652
68,0.01336,668
69,0.014,700
70,0.01352,676
71,0.01434,717
72,0.01496,748
73,0.01488,744
74,0.01432,716
75,0.0139,695
76,0.0154,770
77,0.01588,794
78,0.01618,809
79,0.01548,774
80,0.01548,774
81,0.0154,770
82,0.01634,817
83,0.01614,807
84,0.01724,862
85,0.01724,862
86,0.01756,878
87,0.01712,856
88,0.0171,855
89,0.01802,901
90,0.01762,881
91,0.01726,863
92,0.0178,890
93,0.01858,929
94,0.01792,896
95,0.01878,939
96,0.01944,972
97,0.01902,951
98,0.01936,968
99,0.01842,921
100,0.01966,983
