value,probability,count
2,6e-05,3
3,8e-05,4
4,0.0003,15
5,0.0002,10
6,0.00058,29
7,0.00088,44
8,0.00082,41
9,0.0012,60
10,0.00112,56
11,0.00172,86
12,0.002,100
13,0.00282,141
14,0.00282,141
15,0.00314,157
16,0.0031,155
17,0.00334,167
18,0.00458,229
19,0.00508,254
20,0.00512,256
21,0.00654,327
22,0.00622,311
23,0.00676,338
24,0.00758,379
25,0.00872,436
26,0.0086,430
27,0.00896,448
28,0.01044,522
29,0.0106,530
30,0.01116,558
31,0.01206,603
32,0.01256,628
33,0.01366,683
34,0.01394,697
35,0.01466,733
36,0.01524,762
37,0.0165,825
38,0.01738,869
39,0.01868,934
40,0.01822,911
41,0.01854,927
42,0.02078,1039
43,0.021,1050
44,0.0211,1055
45,0.02218,1109
46,0.02366,1183
47,0.02296,1148
48,0.02526,1263
49,0.02458,1229
50,0.02638,1319
51,0.02662,1331
52,0.02486,1243
53,0.02484,1242
54,0.02456,1228
55,0.0226,1130
56,0.0215,1075
57,0.0216,1080
58,0.02098,1049
59,0.02104,1052
60,0.01838,919
61,0.01808,904
62,0.01726,863
63,0.0167,835
64,0.01568,784
65,0.01512,756
66,0.01404,702
67,0.01412,706
68,0.013,650
69,0.01288,644
70,0.01182,591
71,0.01126,563
72,0.01002,501
73,0.00936,468
74,0.0089,445
75,0.00914,457
76,0.00828,414
77,0.00778,389
78,0.00684,342
79,0.00584,292
80,0.0056,280
81,0.00508,254
82,0.00442,221
83,0.00458,229
84,0.0035,175
85,0.00382,191
86,0.00292,146
87,0.00244,122
88,0.0023,115
89,0.00188,94
90,0.00168,84
91,0.0015,75
92,0.00096,48
93,0.0007,35
94,0.00054,27
95,0.00056,28
96,0.00032,16
97,0.0001,5
98,8e-05,4
99,2e-05,1
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
